iso3c,variant,common_string,regex
MHL,马绍尔群岛,马绍尔,马绍尔
MHL,马绍尔群岛共和国,马绍尔,马绍尔
MHL,马绍尔,马绍尔,马绍尔
MKD,北马其顿,马其顿,马其顿
MKD,北马其顿共和国,马其顿,马其顿
MKD,马其顿共和国,马其顿,马其顿
MKD,马其顿,马其顿,马其顿
MLI,马里,马,(?<!(圣|索))马(利|里)
MLI,马里共和国,马,(?<!(圣|索))马(利|里)
MLI,马利,马,(?<!(圣|索))马(利|里)
MLI,马利共和国,马,(?<!(圣|索))马(利|里)
MLT,马耳他,马,马(尔|耳)他
MLT,马耳他共和国,马,马(尔|耳)他
MLT,马尔他,马,马(尔|耳)他
MLT,马尔他共和国,马,马(尔|耳)他
MMR,缅甸,缅甸,缅甸
MMR,缅甸联邦共和国,缅甸,缅甸
MNE,黑山,,黑山|蒙特内哥罗
MNE,蒙特内哥罗,,黑山|蒙特内哥罗
MNG,蒙古国,蒙古,蒙古
MNG,蒙古,蒙古,蒙古
MNP,北马里亚纳群岛,纳群岛,
MNP,北马里亚纳群岛自由邦,纳群岛,
MNP,北马利安纳群岛,纳群岛,
MNP,北马利安纳群岛邦,纳群岛,
MOZ,莫桑比克,比克,莫(三|桑)比克
MOZ,莫桑比克共和国,比克,莫(三|桑)比克
MOZ,莫三比克,比克,莫(三|桑)比克
MOZ,莫三比克共和国,比克,莫(三|桑)比克
MRT,毛里塔尼亚,塔尼亚,(茅利|毛里)塔尼亚
MRT,毛里塔尼亚伊斯兰共和国,塔尼亚,(茅利|毛里)塔尼亚
MRT,茅利塔尼亚,塔尼亚,(茅利|毛里)塔尼亚
MRT,茅利塔尼亚伊斯兰共和国,塔尼亚,(茅利|毛里)塔尼亚
MSR,蒙特塞拉特,蒙,
MSR,蒙哲腊,蒙,
MTQ,马提尼克,尼克,
MTQ,马丁尼克,尼克,
MUS,毛里求斯,里,(模|毛)里(西|求|裘)斯
MUS,毛里求斯共和国,里,(模|毛)里(西|求|裘)斯
MUS,毛里裘斯,里,(模|毛)里(西|求|裘)斯
MUS,毛里裘斯共和国,里,(模|毛)里(西|求|裘)斯
MUS,模里西斯,里,(模|毛)里(西|求|裘)斯
MUS,模里西斯共和国,里,(模|毛)里(西|求|裘)斯
MWI,马拉维,马拉,马拉(威|维)
MWI,马拉维共和国,马拉,马拉(威|维)
MWI,马拉威,马拉,马拉(威|维)
MWI,马拉威共和国,马拉,马拉(威|维)
MYS,马来西亚,马来西亚,马来西亚
MYT,马约特,马约特,马约特
MYT,马约特省,马约特,马约特
"NAM",纳米比亚,纳米比亚,纳米比亚
"NAM",纳米比亚共和国,纳米比亚,纳米比亚
NCL,新喀里多尼亚,新喀里多尼亚,新喀里多尼亚
NER,尼日尔,尼日,尼日(?!利亚)
NER,尼日尔共和国,尼日,尼日(?!利亚)
NER,尼日,尼日,尼日(?!利亚)
NER,尼日共和国,尼日,尼日(?!利亚)
NFK,诺福克岛,诺福克岛,诺福克岛
NGA,尼日利亚,利亚,(奈及|尼日)利亚
NGA,尼日利亚联邦共和国,利亚,(奈及|尼日)利亚
NGA,奈及利亚,利亚,(奈及|尼日)利亚
NGA,奈及利亚联邦共和国,利亚,(奈及|尼日)利亚
NIC,尼加拉瓜,尼加拉瓜,尼加拉瓜
NIC,尼加拉瓜共和国,尼加拉瓜,尼加拉瓜
NIU,纽埃,纽,纽(埃|威)
NIU,纽威,纽,纽(埃|威)
NLD,荷兰,荷兰,荷兰|尼德兰
NOR,挪威,挪威,挪威
NOR,挪威王国,挪威,挪威
NPL,尼泊尔,尼泊尔,尼泊尔
NPL,尼泊尔联邦民主共和国,尼泊尔,尼泊尔
NRU,瑙鲁,鲁,(诺|瑙)鲁
NRU,瑙鲁共和国,鲁,(诺|瑙)鲁
NRU,诺鲁,鲁,(诺|瑙)鲁
NRU,诺鲁共和国,鲁,(诺|瑙)鲁
NZL,新西兰,,(新|纽)西兰
NZL,奥特亚罗瓦,,(新|纽)西兰
NZL,纽西兰,,(新|纽)西兰
OMN,阿曼,阿曼,阿曼
OMN,阿曼苏丹国,阿曼,阿曼
PAK,巴基斯坦,巴基斯坦,巴基斯坦
PAK,巴基斯坦伊斯兰共和国,巴基斯坦,巴基斯坦
PAN,巴拿马,巴拿马,巴拿马
PAN,巴拿马共和国,巴拿马,巴拿马
PCN,皮特凯恩群岛,皮特,
PCN,皮特凯恩岛,皮特,
PCN,皮特肯群岛,皮特,
PCN,皮特肯岛,皮特,
PER,秘鲁,秘鲁,秘鲁
PER,秘鲁共和国,秘鲁,秘鲁
PHL,菲律宾,菲律宾,菲律宾
PHL,菲律宾共和国,菲律宾,菲律宾
PLW,帕劳,,帛琉|帕劳
PLW,帕劳共和国,,帛琉|帕劳
PLW,帛琉,,帛琉|帕劳
